MQT,0.9355,0.0000,29,0,2
MQX,0.0000,0.0000,0,0,1
JKG,0.0000,1.0000,0,1,0
WEH,0.0000,0.0000,0,0,4
FWA,0.5833,0.1154,91,18,47
GAY,0.0000,0.0000,0,0,1
HUX,0.3750,0.0625,12,2,18
OIT,1.0000,0.0000,2,0,0
GBG,1.0000,0.0000,4,0,0
GBD,1.0000,0.0000,2,0,0
AER,0.0000,0.0000,0,0,1
DME,0.2083,0.0000,10,0,38
AEY,1.0000,0.0000,1,0,0
AEX,0.6462,0.0308,42,2,21
DMK,0.2404,0.0192,25,2,77
DMM,0.2000,0.0000,11,0,44
AEI,0.0000,1.0000,0,1,0
XDB,0.0000,0.0000,0,0,1
BUR,0.6482,0.2224,516,177,103
BUS,1.0000,0.0000,3,0,0
XDS,0.0000,0.0000,0,0,3
BUF,0.5508,0.1257,390,89,229
BUD,0.5636,0.0000,62,0,48
BUE,0.0000,1.0000,0,2,0
MYY,1.0000,0.0000,1,0,0
XRY,0.6250,0.1250,5,1,2
MOZ,0.6667,0.3333,2,1,0
PSO,1.0000,0.0000,3,0,0
PSM,1.0000,0.0000,10,0,0
PSB,1.0000,0.0000,1,0,0
PSC,0.5862,0.0517,102,9,63
PSA,0.6562,0.0625,21,2,9
PSF,0.8333,0.1667,5,1,0
PSG,0.0000,0.0000,0,0,1
PSE,0.4000,0.2444,18,11,16
MOL,1.0000,0.0000,1,0,0
PSR,1.0000,0.0000,2,0,0
MOB,0.5485,0.1699,113,35,58
PSP,0.6447,0.0967,713,107,286
JLN,0.7885,0.0577,41,3,8
MOD,0.9178,0.0822,67,6,0
KMG,0.0000,0.0000,0,0,10
BCN,0.4907,0.0576,264,31,243
HND,0.4880,0.0040,122,1,127
BCD,0.5000,0.0000,5,0,5
HNM,1.0000,0.0000,10,0,0
HNL,0.2509,0.2955,354,417,640
BCB,1.0000,0.0000,7,0,0
HNS,1.0000,0.0000,2,0,0
KMS,1.0000,0.0000,6,0,0
KMQ,1.0000,0.0000,8,0,0
BCT,0.0417,0.9583,1,23,0
BCV,1.0000,0.0000,1,0,0
TVU,1.0000,0.0000,1,0,0
TVL,0.0000,1.0000,0,2,0
TVF,0.5000,0.0000,2,0,2
VRN,0.8333,0.0417,20,1,3
TVC,0.7479,0.0588,89,7,23
YRL,1.0000,0.0000,1,0,0
SRQ,0.4237,0.1695,200,80,192
BPN,0.0000,0.0000,0,0,1
PIU,0.4286,0.0000,3,0,4
TDX,0.8000,0.0000,4,0,1
TDW,1.0000,0.0000,1,0,0
LOH,0.0000,0.0000,0,0,2
LON,0.7292,0.2708,35,13,0
CVN,1.0000,0.0000,23,0,0
CVO,0.9000,0.1000,9,1,0
LOP,0.3333,0.0000,1,0,2
CVM,1.0000,0.0000,1,0,0
LOV,1.0000,0.0000,2,0,0
FHU,0.8333,0.1667,5,1,0
CVG,0.5301,0.1103,423,88,287
WJF,0.5000,0.5000,3,3,0
QRO,0.3846,0.0308,25,2,38
IMF,0.0000,0.0000,0,0,2
WJU,1.0000,0.0000,1,0,0
HPV,0.0000,1.0000,0,2,0
KKE,1.0000,0.0000,4,0,0
HPH,0.7500,0.0000,6,0,2
HPN,0.5448,0.1685,152,47,80
EBB,0.3226,0.0000,10,0,21
ABV,0.5000,0.0000,2,0,2
KKC,0.0000,0.0000,0,0,1
RJA,0.0000,0.0000,0,0,3
WDG,1.0000,0.0000,5,0,0
WDH,0.4615,0.0769,6,1,6
DRS,0.6667,0.1111,6,1,2
DRT,1.0000,0.0000,19,0,0
DRW,0.4444,0.1111,4,1,4
ZYR,1.0000,0.0000,1,0,0
DRO,0.7172,0.0966,104,14,27
IOW,0.0000,1.0000,0,2,0
IOS,0.5000,0.0000,1,0,1
RVN,0.2000,0.0000,1,0,4
UIO,0.2784,0.0341,49,6,121
UIN,0.8462,0.0000,11,0,2
CXR,1.0000,0.0000,3,0,0
MLC,1.0000,0.0000,2,0,0
XSY,0.0000,1.0000,0,1,0
XSC,1.0000,0.0000,6,0,0
GON,0.9600,0.0400,72,3,0
XSN,1.0000,0.0000,1,0,0
SCL,0.4587,0.1239,100,27,91
MNZ,0.3750,0.6250,3,5,0
PTK,0.5000,0.5000,1,1,0
SCK,0.9800,0.0200,49,1,0
SCE,0.5926,0.1019,64,11,33
JMS,0.8000,0.2000,4,1,0
SCF,0.3333,0.6667,6,12,0
JMK,0.9000,0.0000,9,0,1
MNL,0.2776,0.0095,146,5,375
PTY,0.4780,0.1016,174,37,153
SCV,0.5000,0.0000,1,0,1
SCQ,0.2500,0.0000,1,0,3
PTP,0.3226,0.2581,10,8,13
CJJ,1.0000,0.0000,4,0,0
CJB,0.5000,0.0000,3,0,3
CJC,0.5833,0.1667,7,2,3
PBZ,0.0000,0.0000,0,0,1
PBG,0.5000,0.1562,16,5,11
PBC,0.5938,0.0312,19,1,12
PBM,0.1429,0.0000,2,0,12
CJS,0.7835,0.0722,76,7,14
PBI,0.2526,0.1652,361,236,832
PBH,1.0000,0.0000,1,0,0
CJU,0.2308,0.4615,3,6,4
MPL,0.7500,0.2500,3,1,0
MPM,0.3000,0.1000,3,1,6
AVP,0.6714,0.0610,143,13,57
MPH,0.5200,0.0000,13,0,12
AVL,0.8223,0.0836,472,48,54
AVN,0.7500,0.2500,3,1,0
YQM,0.1429,0.0714,2,1,11
SUF,0.1667,0.0000,1,0,5
SUE,1.0000,0.0000,1,0,0
SUB,0.8000,0.0000,4,0,1
SUA,0.0000,1.0000,0,5,0
SUN,0.3951,0.2346,32,19,30
YQG,0.8636,0.0682,38,3,3
YQB,0.6337,0.0581,109,10,53
SUV,0.8333,0.0000,5,0,1
YQY,0.6667,0.0000,2,0,1
YQU,0.0000,1.0000,0,1,0
YQT,0.7500,0.2500,3,1,0
YQQ,0.0000,0.0000,0,0,3
SUX,0.7358,0.0755,39,4,10
QMZ,0.0000,1.0000,0,1,0
FCA,0.4526,0.1158,43,11,41
TEB,0.0000,1.0000,0,11,0
QMU,0.0000,1.0000,0,1,0
TEX,0.6190,0.1429,13,3,5
NBO,0.3543,0.0315,45,4,78
QMN,0.0000,1.0000,0,1,0
TET,0.0000,0.0000,0,0,1
TEU,1.0000,0.0000,6,0,0
DND,1.0000,0.0000,4,0,0
GMN,0.8000,0.2000,4,1,0
ADQ,0.2000,0.0000,1,0,4
DNN,0.0000,1.0000,0,2,0
ADZ,0.3636,0.0000,4,0,7
DNK,0.4000,0.0000,2,0,3
ADD,0.2571,0.0000,9,0,26
ADB,0.0909,0.2727,1,3,7
ADA,0.1250,0.0000,1,0,7
ADL,0.3714,0.1143,13,4,18
GMP,0.5238,0.0000,11,0,10
BRX,1.0000,0.0000,3,0,0
BRW,0.0000,0.0000,0,0,1
BRU,0.5714,0.1169,88,18,48
BRS,0.8095,0.0000,17,0,4
BRQ,1.0000,0.0000,1,0,0
BRO,0.4940,0.1325,41,11,31
BRN,0.8667,0.1333,13,2,0
BRM,1.0000,0.0000,1,0,0
BRL,0.9167,0.0833,22,2,0
BRI,0.5000,0.0000,4,0,4
BRE,0.1818,0.0000,2,0,9
BRD,0.9231,0.0000,12,0,1
KZN,0.0000,0.0000,0,0,1
TWF,0.8315,0.0787,74,7,8
JDZ,0.0000,0.0000,0,0,3
VRB,0.2727,0.7273,3,8,0
RKT,1.0000,0.0000,4,0,0
RKV,0.8125,0.1875,13,3,0
DEC,0.9545,0.0455,21,1,0
RKS,0.7879,0.0303,26,1,6
RKD,0.6000,0.2000,3,1,1
SEA,0.4060,0.1391,1883,645,2110
EAP,0.0000,1.0000,0,1,0
EAS,0.4545,0.0909,5,1,5
EAR,0.8333,0.0278,30,1,5
EAU,0.8545,0.0182,47,1,7
EAT,0.9565,0.0054,176,1,7
ESU,1.0000,0.0000,3,0,0
RSU,0.0000,0.0000,0,0,1
HOB,1.0000,0.0000,13,0,0
HON,1.0000,0.0000,2,0,0
HOM,0.8000,0.0000,12,0,3
HOV,0.0000,0.0000,0,0,1
HOT,1.0000,0.0000,29,0,0
HOU,0.6978,0.1983,799,227,119
ESC,0.5714,0.0000,4,0,3
ESB,0.3333,0.1111,6,2,10
HOQ,1.0000,0.0000,1,0,0
ESN,0.0000,1.0000,0,1,0
VST,1.0000,0.0000,2,0,0
PTI,1.0000,0.0000,1,0,0
YGK,0.6667,0.0000,4,0,2
VSA,0.2778,0.0556,5,1,12
BGA,0.4211,0.0000,8,0,11
SCY,0.5714,0.0000,4,0,3
LHE,0.0357,0.0000,1,0,27
VAL,0.0000,0.0000,0,0,1
AEP,0.0000,0.0000,0,0,33
VAA,0.0000,0.0000,0,0,1
LHW,0.0000,0.0000,0,0,1
LHR,0.4605,0.0362,559,44,611
VAR,0.0000,0.0000,0,0,1
VAP,0.0000,1.0000,0,1,0
WUX,0.0000,0.0000,0,0,5
EXT,0.5000,0.5000,2,2,0
WUJ,1.0000,0.0000,1,0,0
WUH,0.0000,0.0000,0,0,16
CMN,0.2941,0.1059,25,9,51
CMI,0.7961,0.0971,82,10,11
CMH,0.5383,0.1129,534,112,346
RLA,1.0000,0.0000,1,0,0
CME,1.0000,0.0000,2,0,0
CMB,0.3750,0.0000,33,0,55
PCT,0.7143,0.2857,5,2,0
PCN,1.0000,0.0000,1,0,0
CMX,0.5556,0.0556,10,1,7
MAR,0.0000,0.0000,0,0,4
GOJ,0.0000,0.0000,0,0,1
UVF,0.3333,0.0460,29,4,54
LMM,0.4545,0.0000,5,0,6
ZVE,0.0000,0.0000,0,0,1
DSM,0.5853,0.0829,247,35,140
DSI,0.0000,1.0000,0,1,0
PMO,0.3793,0.2759,11,8,10
INT,0.8750,0.1250,21,3,0
RWI,0.8846,0.1154,23,3,0
INV,0.5714,0.2143,8,3,3
INW,1.0000,0.0000,3,0,0
RWL,1.0000,0.0000,4,0,0
INL,0.4286,0.1429,3,1,3
OKC,0.6115,0.1148,373,70,167
